tweet_text,class
"  Buhari didn't want to negotiate with the intellectuals, now he has to contain the mob he failed to educate.",-1
  Omo. I heard the  disbanded  SARS still dey operate. They did not even collect guns from them.,-1
Candle light in Birmingham for our fallen heroes ...,-1
Another video of the protest!!!! And y all wanna stop? After several people have died? Nah! We have to,-1
  I just randomly sigh to myself and think  wow. They really killed people because of a peaceful protest. My heart is so heavy,-1
"   In order to escape accountability for his crimes, the perpetrator does everything in his power to promote forgetting",-1
Note how this south African Lady has been lending her voice to the  movement all day and night.Never forget.,-1
"  SARS still dey extort, harass and Brutalize young people, please let s come together once again to trend  ",-1
"  World, Nigeria needs us. Peaceful protests have gone tragically violent as authorities have killed Nigerian protesters. ",-1
Another Kannywood Star Asks Northerners To Attack  Calls  Protesters Infidels,-1
"  we definitely can t go back, there s nothing to go back to. we re moving forward ",1
"  they re killing our brothers and sisters in zimbabwe, in congo and in nigeria all at the same time bro",-1
"  We expect the results to begin to reflect in your headlines very soon, like your brother  ",1
God knows I wouldn't be tweeting now if people hadn't gather around to save us from a rogue police about to arrest my friend,1
"  SARS officials are still on the road, the battle is not won yet. ",-1
"  Those who went late to the warehouse couldn t get anything,so they removed the doors,windows and the electricals. ",-1
   Violence doesn't discredit the outcome of our elections. Why does it diminish the demands of citizens  Seun Kuti. ,-1
" Corruption and hypocrisy ought not to be inevitable products of democracy, as they undoubtedly are today.  ",-1
"  The moment cheated citizens began redistributing palliatives, hoarded by public officials, to the rightful recipients  ",-1
"  me seeing the  movement, come back to life: ",1
"  Forensic analysis of videos showing the  by soldiers on Tuesday has shown them to be authentic, in spite of th ",1
"  My good sis   and other Nigerians spoke to  about the  protests, police brutality i ",-1
How to write  petition.Follow the thread. The steps are simple.,1
My love goes out to   and everywhere in the world that is fighting to change the systems designed to oppres ,1
"  Who ordered the shooting of peaceful protesters at Lekki on the 20th of October, 2020? ",0
As we Nigerians are crying for  Pls remember,-1
If ppl in abroad are not relenting why will you get tired of retweeting. Oya retweet any  tweet aggressively,1
"  This palliative discoveries across the nation is a strategy to distract Nigerian youth from the main issue on ground, T  ",-1
Una de see? The world will hold us accountable and we will need to answer to them what we re doing with  We can t just ,-1
Nobody has resigned. Nobody has been sacked. Nobody has been arrested. People were shot in Lekki. People were shot in Suru ,-1
SARS are back on the street to cause more brutality. Retweet and pass it on,1
"We have to unseat that Jubril, let this not be our case ooh    ",-1
"  For non Yoruba-speaking tweeps, he's basically saying that political elites only see impoverished youths as hired goon ",-1
One other thing we have to thank  for its the exposure of  This man can NEVER be President.Hear h ,-1
"  For the  protests to yield results, prominent celebrities, young Parliamentarians and CSOs should follow up on the ",1
I see that you have  as members of your team? Since when did you start working cooking ,1
A simple but very strong message!! Retweet when you see it,1
I just hope that the diversion scheme being played out by the government officials isn't affecting our  movement? ,1
"  Tinubu visits Sanwo-Olu, says I didn t go nowhere, I m still Jagaban   Punch Newspapers ",-1
Who gave the order???? We won t stop asking,-1
Jack didn't give us  icon just for it to stop trending!!!Y'all fix up,1
Nigerians we Cameroonians joined you to say endsars,1
"  say hi to the eloquent  this video is extremely informative, PLEASE RETWEET and support her channels. ",1
Video showing soldiers driving to the Lekki toll gate on 20-10-2020 before the,1
  Everything about  protests and the aftermath was prophesied.,1
Students shot by armed group! Students!!! Africa which way now?? From  in Nigeria to  in Camer ,-1
"  Swat new uniform get 4 pockets, how dey no go dey collect bribe",-1
Anambra are still sharing their Covid-19 palliatives by themselves. There is so much hunger in Nigeria,-1
People are still protesting in other states. People are still protesting around the world. For us. We cannot stop amplifyin ,1
Online protest resumed!,1
"  PHOTONEWS: Igbotu Residents In Ondo State Join  Protest, Demand Restoration Of Electricity, End To Unemployment",1
Warehouse in bukuru jos has been cleared next?????,0
"  Woke up with a heavy heart, thought I'd put my pain on paper.   ",-1
We don t have a spare life. Let s make the most of the one we have.,1
Come come! did some governors have a meeting and collectively agree not to distribute these palliatives !!!,-1
The existence of SARS is literally so frustrating,-1
"  It was one of the most brutal nights in Nigeria, since the  protests began.",-1
Nigerians in diaspora still pushing the  movement And y'all giving up already?,0
Omo who is this guy on HipTV  He said it was dragons that set properties ablaze and rats did the looting,-1
I saw this in my estate and I m more than ecstatic. Press their necks!!!! We demand justice for the deaths of our brothers ,1
This is why we are where we are today.Simple question: How much is your monthly take home salary.,0
isn t over until all 5for5 demands are completely met and police brutality in Nigeria is ended completely.,1
"   Nigerians in Glasgow, Scotland join anti-police brutality rally., denouncing President! ",-1
Let s wait for them to say this is a big lie againEspecially those excuse of humans paid to discredit heroes,-1
My break is over. Back to   we're not done yet. Fight no dey finish with Round One.,-1
My Dad literally refused to side with the actual truth of the Lekki massacre till I told my SARS experiences.,-1
Everyone has a part in the movement. Thank you for letting me share my story about what is taking place in my home,1
Maybe the Nigerian government would believe the report of foreign journalists who witnessed the protests,0
Don t forget!!! Sars is still on  the road,1
NTA journalist Jennifer Uloma Igwe got caught up at the Lekki Tollgate when the massacre started.This lady got conscience,1
Brace up!!! There will still be missing persons on the streets,-1
"  So yeah, it s still  until there are no more reports of police brutality.",0
What is What is the problem?Why should we take part?,0
is proud to be home of one of the largest Nigerian communities in the country and stands with Nigerians aroun ,1
We re back on the streets of Paris demanding justice for our brothers and sisters killed at the Lekki toll! Plus and end to bad governance,1
"  We will see unidentifiable policemen bearing arms and we will scream  Ole  and collectively beat them up, Amen?",-1
"  There's a medical report that proves that she was raped, done by a consultant a day after the rape occurred",-1
"  SARS are back on the street, this time they're more brutal. Retweet and pass it on ",-1
May those who lost their lives during the  Rest In Peace,0
"  Pictures from our  protest today in Gottingen, Germany.We move  ",1
"  Who ordered the shooting of peaceful protesters at lekki on the 20th of October,2020???  ",0
Me thinking how I will raise my YDP flag in 2023. I can't wait to be part of the new Nigeria,1
"  Yesterday I was angry, today I'm twice as angry.  ",-1
"  All over the region, violence met peaceful  but because it served your purpose, you let it rage!You wanted to sile ",-1
would you have wanted us to be quiet if their bullets found you?,-1
My husband s death has stripped me naked   Widow of suspected  protest victim ,-1
SARS are back on the road.Absolutely zero win for us,-1
"  Just so you know, the  Protest was not only meant to end police brutality in Nigeria but all over Africa.You guys ",1
Kogi State Government has commended the way the people of the State conducted themselves during the  protest; ,1
"  WHO ORDERED THE SHOOTING OF PEACEFUL PROTESTERS AT LEKKI ON THE 20TH OF OCTOBER ,2020???  ",0
We finally found him. Fellow nigerian Let it be known that  kidnapped my brother for over 4 days and refuse him ,1
Please donate and Fundraising for Oke Obi-Enadhuze's family,1
"   I never lose, I either win or learn  - Nelson Mandela",1
We need serious answers!!! Who gave the order??? ,0
The  protest was not hijacked. It was attacked.There is a huge difference.,0
say hello to the NIGERIAN dream,0
" If you want to fire me, fire me make I die. I will never follow you to that station ",-1
"   We ve woken, never to sleep again.  A very poignant message to   Government.",-1
"  Our people in the diaspora going hard for us, the battle has not been won   ",-1
SARS officers are back on the streets ?  The government is actually a joke,-1
The trauma of it all. This why our parents never healed,-1
Nobody should make this MOVEMENT  ABOUT TRIBE! This is not about TRIBE!! WE ARE ALL ONE!!,-1
Another evidence.  rightly said the Soldiers that carried out  ca ,1
"  A huge  march has just kicked off in Brussels, Belgium.",1
"  You can also as well donate to  to help injured  protesters and their families, since you're feeling so ",1
"  People protested, People died, nobody resigned, nobody was fired, SARS officers are back on the street. ",-1
Izuchi trying to take footage of the  shootings of  protesters was gunned down at the front of Makinde Poli ,-1
Yo!!!  we saw you giggling behind Tinubu during his interview. No problem. WHO ORDERED THE MASSACRE AT THE TOLL GATE,0
"   Nigerians protest in Berlin, London   Punch Newspapers ",-1
"  Who ordered the shooting of peaceful protesters at Lekki toll gate on the 20th of October,2020??? We need answers!!! ",1
We're closer than ever. Let's not get tired,1
Nigerians Protest In London Against Violence,1
Yours truly at the  protests. Over now. Great to see the massive turnout. Thanks to  for the photo. http ,1
"  Pictures from the  march in Brussels, Belgium today. More protests are planned for the coming days. If your spir ",1
Was Asiwaju Tinubu Chased out of his hotel in France today? This video speaks thousands ,1
"   protesters across Nigeria were self-policing. People cleaned up after each exercise, sexual harassment was stamped ",-1
Thugs been transported in jeeps and buses in wuse2 Abuja this is why we can't stop    we move  ,1
"  The officers that killed Jimoh Isiaq have not been prosecuted, the soldiers that left Bonny Camp ",-1
Do not forget our heroes,1
Jagaban spoke overnight but he was handed this receipt,-1
One set say I am homophobic another say I am LGBTQ supporter. A 10 minute production was done portraying me as enemy of I ,-1
"  BREAKING: After emptying their COVID19 palliatives warehouse, Calabar youths in Cross River gather in front of soldiers to ",-1
Look at them!Looking so harmlessSo beautiful and handsome!So sassy with plenty swags !So intelligent and pragmatic!Who ,1
"  Plz RETWEET for the WORLD to see the level of impunity in this govt.The Acting MD of NDDC, Prof. Kemebradikumo Pondei who ",-1
"  Who ordered the shooting of peaceful protesters at Lekki on the 20th of October, 2020??? ",0
Some Nigerians mistook our disbandment of SARS as weakness   BuhariNorthern Govs opposed  FULANI-led Northe ,-1
"  Politics is local abi? The KNOWN Street Bosses in Lagos, the local bosses o, were caught unaware as the city was raided and ",-1
"  SARS has resumed work, so we also need to resume ours,  now!!!",1
"  No WORD, just a RETWEET till we find the couple behind this evil act and rescue this little girl.A couple allegedly tied u ",-1
Banner drop in solidarity with the  revolt in  from the Black Autonomy Federation in,-1
Don t let them know our next move... Just act and let them know they messed with a smart thinking generation.  ,-1
If Sars is still on the streets then we can t shut up! Our generation is noisy and we will keep screaming into your ears!,-1
Ex-DSS director: Senator s aides conveyed thugs who attacked  protesters | TheCable  https:/ ,-1
This is what we are fighting for. And this we will achieve. FRAME 2MoneyJagaban,1
"  When the military (who re trained for war and to be brutal) teach the police how to relate with civilians, you get why Ni ",1
I'm moved to tears rn. Protest continues in Central London. I love you guys. They are keeping the fire burning,1
I just wanted to remind you of 20/10/20. Please never forget!!! I urge you to please always Retweet ,1
protests might not be able to hold at some places in Nigeria but our brothers over seas are still moving! ,1
Nigerians are hungry.But the government hid food items. I can't believe my eyes.It's pure evil ,-1
"  Hope everyone is ok today? Sending you all love and light . Stay strong, we are one Nigeria  ",1
Never have I been more certain that those girls were taken from Chibok. All the propaganda and lies just to ridicule,-1
This serial killer is still at large. The government has said or done nothing.,-1
Our power was that for one of the first times we were united around a single issue.  the world supported us because ,1
The attack on Rinu that Thursday night trended the whole night and ignited the rage of  globally.The attack o ,-1
Sanwo Olu said there were no deaths at Lekki toll gate but na missing person full TL.The president said SARS has been di ,-1
Protestors in  discovered today a warehouse of Covid19 food aid in Lagos that was meant for people but is locked b ,-1
These heartless monsters are restlessly working on all sides to destroy anything relating to,-1
Guys please stay at home. Enugu is rough,-1
HEAR ME OUT: THEY LIED TO US.SARS ARE STILL OUT THERE!!!!WE CAN T THINK OF STOPPING NOW UNLESS WE LL SEE PEPPER!!!! DON ,-1
"   If you want to fire me, fire me make I die. I will never follow you to that station  ",-1
Shout out to  players who painted Europe with  goals in the past 7 days:  Osimhen  Nwankwo  Oshoala  ,-1
The moment hoodlums began sharing their loot with beggers.,-1
This is Heartbreaking,-1
"   on German leading newspaper Spiegel.We will continue to push overseas, and embarrass our political class immensely",-1
A thread on what s happening in Nigeria at the moment,0
The police allowed lekki to be looted because of the  protest.,-1
Today my auntie and her family were on their way to a wedding because their daughter was supposed to be the little ,1
"  7.Please, stay focused on using your voice. Listen to one another with humility. Many of us are praying really hard for you",1
I am so proud of my Generation... see people showed up.. we literally filled the streets of Dallas..,1
Why are they in meeting with osinbajo........ Why not the president?? ,-1
"  Sweetheart, Darling, Baby e.t.c ?End it abeg. While we're on this,  too.",-1
Asked about my future and they see death in my palm.They see blood and empty skullWhat could my offence be? Cos I design ,-1
"A wise man sees failure as progress.A fool divorces his knowledge and misses the logic,And loses his soul in the process.",-1
"  From today, I want to beg everybody here. If you ever see anyone being held by SARS/SWAT, please, stop and make sure they are safe",1
Celebrities saying they did not see any bodies at lekki should pause. Eyewitness testimony is that soldiers shot people,-1
"  My father taught me that if you tell the truth, you won't have to remember what you said.",1
Benue candlelight for victims of Lekki massacre.,1
"  If only the victims of Lekki Massacre knew we'd moved on so fast, they'd have stayed at home ",-1
"  If It's True That Tinubu Run To France,Nigerians In France Should Look For Him And Take  Protest To The Place",-1
"  People died for us, the least you can do is trend a hashtag ",-1
"  How do we tell Nigerians that the endsars  campaign is not just for them, it's for all of us Africans?",-1
  To all Nigerian Youths,0
We are not finish InshaAllah. ,1
Wahala for who no sabi speak English this night oh ,-1
I still Urge all the Nigerians youths to be more energetic because we need more of protest,1
Nigerian government  got it wrong! You don't mess with angry youths who are legitimately asking for their right,-1
protest still going on in Calabar. You can join protesters at the highway  FOR AWARENESS ,-1
Thank you   for your willingness to be vulnerable and share your experience with us tonight,1
"  12am Twitter, Lets Mark Attendance with ",0
All these hashtags we re tweeting are all so heartbreaking,-1
My heart goes out to my Nigerian brothers and sisters,1
You're focused on making  protesters the scapegoat for a mess you created instead of asking yourself,-1
Why did online protesters give up on the  movement? We had so many little wins. Why?,-1
"   Nigeria on a mission they can't finish, shooting on armed civilians, this the worst of its kind",-1
Nigeria s man inhumanity to man!,-1
These missing people are mainly in the hands of Nigeria security agencies,-1
" With the kind of comment, this SHOWS how are presumed leaders think ",0
"  Who ordered the shooting of peaceful protesters at lekki on the 20th of October, 2020? Where are the CCTV footages ",-1
We elected a murderer as a president.,-1
"  We had our commercial break , we didn t lose focus. Now we are back. ",1
UPDATE: Currently happening at Oworo in Lagos...Youths were seen hanging banners to educate the public and the police ,1
I had a few things to say at the  protest in Birmingham tonight,0
Can't be in vain!,1
Some people went for protest and didn t come back We didn t see their bodies or hear anything from them,-1
Suddenly the security forces that were circling and shooting at peaceful  protesters are nowhere to be found,-1
I salute this courageous and humane young Nigerian Air Force officer.,1
"Who ordered the shooting of peaceful protesters at lekki on the 20th of October,2020???  ",0
NigeriansAre these not protesters? Did their government order that they be shot? Instead of you to blame the heartless an ,-1
Just seen the Tinubu video. I think we need to make Lagos the target for 2023. Try to take as many seats in the HOA.,1
As we fight  in nigeria Prayers for our dear brothers and sisters in Dr Congo also matter,-1
All hope is NOT lost! We will WITNESS a New Nigeria that works for all! ,1
Funny moment today. I saw this Tinubu look alike at the protest and was about to two-foot tackle him before realizing he wasn't the one,-1
They just told me now that Abia Covid-19 Palliative are stored at World Bank Road adjacent Golden Guinea junction.,1
I won t be distracted with all the stories around the palliatives! Who ordered the shooting at the Lekki toll gate?,0
If your tired and feel the  protest is not worth  it Watch this and listen for yourself,0
i don t like it when things start to die down when my people are still dying,-1
Africa is bleeding,-1
Who Ordered the Massacre at Lekki Toll Gate?,-1
"   Thank you, Napoli, Italy for standing up! ",1
"The  protest started very peaceful until some people in high places carried thugs in expensive cars and police Vehicles to distrupt it""",-1
"  Who ordered the shooting of peaceful protesters at lekki on the 20th of October, 2020?Who is resigning?",-1
"  I can hear the voices singing the National Anthem, I can also hear the sounds of Gunshots. ",-1
Please Retweet Immediately.COVID -19 PALLIATIVE MEANT FOR NIGERIANS FOUND IN WAREHOUSES IN CALABAR CROSS RIVER STATE,0
"  Wherever you are, God will bless you for this   ",1
"  My statement regarding the ongoing kidnapping, harassment and extortion in  by a controversial police unit known as sars",-1
"  Some people will see misfortune and think it's their village people, not knowing it's self inflicted.",-1
  Why do thugs and hoodlums never  infiltrate  pro government protests?  ,-1
"  Bombarding the whole streets with  posters won t be a bad idea. I mean, same way they bombard us with campaign posters",-1
What s happening in Nigeria. This injustice needs to be stopped. Our support is with the citizens of Nigeria.,1
Youths of Nigeria know who the good people are. Only the bad ones amongst them are afraid.,1
They are still rejoicing over the setback they caused during  protest.,-1
"  So y all, are we just going to retreat into our houses and leave this guy with these savages?",-1
The only constitutional means of getting justice is through the actions of the court. Let's tender our case. Please retweet. ,1
They can't divide us! Biafrans are our brother.,1
Forensic Analysis Shows Videos Were Genuine,1
Foreign media who witnessed    Shooting,-1
"   never ending anytime soon.  It's now spreading across the world. This is Auckland, New Zealand. Aluta continua ",-1
Dear NIGERIA: Tell your Police/Army to STOP killing those you call HOODLUMS;,1
Diaspora Nigerians really holding it down for,1
"  Never forget that this government was ready to watch everything burn, rather than simply disband a rogue law enforcement agency",-1
These guys can t be protesting for us and we go dey sit down dey look,-1
   This is the most important moment in Nigeria's history.  says the  youth have come together  and decided  enough is enough,1
PLEASE LET S CREATE AWARENESS FOR THIS! THE NIGERIAN ARMY HAS NOW ALLEGEDLY ASSUMED THE ROLE OF SARS!  ,-1
Why the hike in prices I dont understand. How does affect the price of oil and cement. Wetin concern fish with rain coat,-1
We still don't have any official statement on who ordered soldiers to Lekki to fire on  protesters,-1
cause we want to live to see the next day,1
Now they are looting the homes of SIN-Nators . A man ran off with a set of expensive looking suits.,-1
The UNITY of the OPPRESSED is key at the moment and our peoples are enjoined to avoid any action that could be misintepreted,-1
Sanwo-Olu knew that the military were there.,0
"  So Tinubu still Calls himself the Asiwaju of Lagos and Jagaban, after the brutal killing of innocent youths.",-1
"  While you eat your suya,  always read the headlines.    ",1
"  Our people in Raleigh, NC. Taking the movement to the next level. No slowing down, no backing down! ",0
"   . We must win this fight, those who lost their lives must get justice..",1
They have deployed the air force to help quell the situation hopefully it works.,1
Nigerians in London are giving me ginger!!!! ,1
"   Who ordered the shooting of peaceful protesters at lekki on the 20th of October,2020??? ",0
Please let s stop stealing from people s stores it s actually not fair,1
Her name is SWITCH.... DJ Switch.And if you don't know... now you know,1
